timestamp,motion,sound
1583406825.673667,1,103
1583406825.776524,1,102
1583406825.879655,1,309
1583406825.982765,1,231
1583406826.085889,1,99
1583406826.188994,1,97
1583406826.292091,0,162
1583406826.395282,0,99
1583406826.498387,0,97
1583406826.601494,0,99
1583406826.704641,0,99
1583406826.807722,0,148
1583406826.910807,0,103
1583406827.013898,0,98
1583406827.117003,0,157
1583406827.220103,0,99
1583406827.323237,0,103
1583406827.426335,0,99
1583406827.529416,1,98
1583406827.632551,1,124
1583406827.735642,1,100
1583406827.838733,1,174
1583406827.941820,1,99
1583406828.044910,1,98
1583406828.147970,1,223
1583406828.251090,1,99
1583406828.354245,1,97
1583406828.457345,1,99
1583406828.560438,1,99
1583406828.663584,1,159
1583406828.766654,1,99
1583406828.869727,1,99
1583406828.972799,1,190
1583406829.075878,1,99
1583406829.178950,1,96
1583406829.282078,1,101
1583406829.385347,1,97
1583406829.488504,1,98
1583406829.591599,1,97
1583406829.694697,1,101
1583406829.797787,0,100
1583406829.900863,0,143
1583406830.003958,0,100
1583406830.107051,0,100
1583406830.210146,0,154
1583406830.313269,0,98
1583406830.418137,0,125
1583406830.521247,0,99
1583406830.624344,0,114
1583406830.727468,0,98
1583406830.830607,0,205
1583406830.933734,0,99
1583406831.036834,0,99
1583406831.139967,0,98
1583406831.243097,0,99
1583406831.346663,0,98
1583406831.449796,0,100
1583406831.552922,0,98
1583406831.656035,0,100
1583406831.759158,0,98
1583406831.862277,0,100
1583406831.965404,0,99
1583406832.068529,0,170
1583406832.171657,0,100
1583406832.274772,0,202
1583406832.377868,0,99
1583406832.480993,1,160
1583406832.584119,1,98
1583406832.687212,1,108
1583406832.790345,1,99
1583406832.893473,1,98
1583406832.996598,1,159
1583406833.099727,1,100
1583406833.203441,1,102
1583406833.306608,1,99
1583406833.409787,1,102
1583406833.512956,1,98
1583406833.616123,1,98
1583406833.719272,1,132
1583406833.822618,1,98
1583406833.925984,1,98
1583406834.029336,1,99
1583406834.133398,1,118
1583406834.236721,1,103
1583406834.340094,1,98
1583406834.443474,1,98
1583406834.546903,1,124
1583406834.650250,0,98
1583406834.753605,0,98
1583406834.856961,0,99
1583406834.960318,0,99
1583406835.063682,0,101
1583406835.167001,0,99
1583406835.270350,0,99
1583406835.373703,0,98
1583406835.477069,0,99
1583406835.580440,0,101
1583406835.683817,0,102
1583406835.787167,0,181
1583406835.890514,0,109
1583406835.993896,0,98
1583406836.097295,0,99
1583406836.200714,0,99
1583406836.304088,0,99
1583406836.407450,0,99
1583406836.510815,0,97
1583406836.614215,0,95
1583406836.717560,0,136
1583406836.820923,0,157
1583406836.924283,0,99
1583406837.027644,0,100
1583406837.130995,1,99
1583406837.234349,1,98
1583406837.337706,1,99
1583406837.441047,1,169
1583406837.544397,1,107
1583406837.647742,1,98
1583406837.751670,1,99
1583406837.855071,1,98
1583406837.958448,1,99
1583406838.061799,1,99
1583406838.165147,1,100
1583406838.268510,1,100
1583406838.371873,1,99
1583406838.475490,1,149
1583406838.578878,1,98
1583406838.682309,1,98
1583406838.785791,1,116
1583406838.889145,1,202
1583406838.992558,1,98
1583406839.095887,1,99
1583406839.199205,1,99
1583406839.302640,0,98
1583406839.405997,0,98
1583406839.509335,0,98
1583406839.612775,0,99
1583406839.716177,0,100
1583406839.819538,0,101
1583406839.922896,0,299
1583406840.026240,0,113
1583406840.129583,0,133
1583406840.232942,0,98
1583406840.336299,1,99
1583406840.439684,1,100
1583406840.543037,1,99
1583406840.646396,1,99
1583406840.749760,1,113
1583406840.853111,1,162
1583406840.956464,1,98
1583406841.059814,1,99
1583406841.163162,1,101
1583406841.266515,1,98
1583406841.369878,1,99
1583406841.473291,1,102
1583406841.576651,1,102
1583406841.679997,1,169
1583406841.783368,1,183
1583406841.886695,1,98
1583406841.990057,1,99
1583406842.093412,1,99
1583406842.196760,1,99
1583406842.300121,1,100
1583406842.403477,1,166
1583406842.506849,1,168
1583406842.610210,0,169
1583406842.713724,0,107
1583406842.817083,0,173
1583406842.920435,0,156
1583406843.023792,0,98
1583406843.127153,0,99
1583406843.230497,0,99
1583406843.333857,0,99
1583406843.437202,0,156
1583406843.540549,0,202
1583406843.644611,0,100
1583406843.747986,0,122
1583406843.851390,0,124
1583406843.954772,0,211
1583406844.058134,0,134
