=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.11.04 10:32:19 =~=~=~=~=~=~=~=~=~=~=~=
python joepir.py
time,pir1,pir2,numberIn
0.023635,1,0,0
0.547746,1,0,0
1.072010,1,0,0
1.596153,0,0,0
2.120317,0,0,0
2.644470,0,0,0
3.168624,1,0,0
3.693153,1,0,0
4.217302,1,0,0
4.741691,1,0,0
5.265938,0,0,0
5.790098,0,0,0
6.314522,0,0,0
6.838669,1,0,0
7.362929,1,0,0
7.887065,1,0,0
8.421554,1,0,0
8.944887,0,0,0
9.468301,0,0,0
9.991649,0,0,0
10.515166,0,0,0
11.038638,1,0,0
11.562028,1,0,0
12.085381,1,0,0
12.608785,1,0,0
13.143106,0,0,0
13.666478,0,0,0
14.189858,1,0,0
14.713264,1,0,0
15.236630,1,0,0
15.760036,1,0,0
16.283394,0,0,0
16.806730,0,0,0
17.330093,0,0,0
17.853439,1,1,1
18.376848,1,1,1
18.900261,1,1,1
19.423627,1,1,1
19.946978,0,0,1
20.470353,0,0,1
20.993601,0,1,1
21.516967,1,1,0
22.040388,1,1,0
22.563791,1,1,0
23.087170,1,0,0
23.610623,0,0,0
24.133919,0,0,0
24.657239,0,0,0
25.180795,1,1,1
25.704156,1,1,1
26.227564,1,1,1
26.750829,1,1,1
27.274244,0,0,1
27.797553,0,0,1
28.320843,0,0,1
28.844169,0,0,1
29.367519,0,0,1
29.890837,0,0,1
30.414175,0,0,1
30.937499,0,0,1
31.460864,0,0,1
31.984195,0,0,1
32.507513,0,0,1
33.030866,0,0,1
33.554197,1,0,1
34.077656,1,0,1
34.601072,1,0,1
35.124410,1,0,1
35.647944,0,0,1
36.171398,0,0,1
36.694709,0,0,1
37.218034,1,0,1
37.741484,1,0,1
Traceback (most recent call last):
  File "joepir.py", line 39, in <module>
    time.sleep(0.5)
KeyboardInterrupt
^Cg54ubi@raspberrypi:~$ 
