time,ultrasonic,sheepCount
1585150518.393210,148,0
1585150518.454700,148,0
1585150518.516120,148,0
1585150518.577541,148,0
1585150518.638913,148,0
1585150518.700287,148,0
1585150518.761682,148,0
1585150518.823064,148,0
1585150518.884444,148,0
1585150518.946171,148,0
1585150519.008342,148,0
1585150519.070529,148,0
1585150519.132720,148,0
1585150519.194880,148,0
1585150519.257048,148,0
1585150519.319208,148,0
1585150519.381365,148,0
1585150519.443513,148,0
1585150519.505672,148,0
1585150519.567859,148,0
1585150519.630032,148,0
1585150519.692194,148,0
1585150519.754358,148,0
1585150519.816515,148,0
1585150519.878700,148,0
1585150519.940888,148,0
1585150520.003151,148,0
1585150520.065371,148,0
1585150520.127552,148,0
1585150520.189718,148,0
1585150520.251878,148,0
1585150520.314078,148,0
1585150520.376264,148,0
1585150520.438432,148,0
1585150520.500602,148,0
1585150520.562782,148,0
1585150520.624985,148,0
1585150520.687145,148,0
1585150520.749312,148,0
1585150520.811474,148,0
1585150520.873627,148,0
1585150520.935817,148,0
1585150520.998050,148,0
1585150521.060213,148,0
1585150521.122348,148,0
1585150521.184497,148,0
1585150521.246697,148,0
1585150521.308863,148,0
1585150521.371016,148,0
1585150521.433172,148,0
1585150521.495336,148,0
1585150521.557495,148,0
1585150521.619668,148,0
1585150521.681872,148,0
1585150521.744018,148,0
1585150521.806185,148,0
1585150521.868346,148,0
1585150521.930503,148,0
1585150521.992654,148,0
1585150522.054824,148,0
1585150522.117003,148,0
1585150522.179158,148,0
1585150522.241320,148,0
1585150522.303450,148,0
1585150522.365604,148,0
1585150522.427815,148,0
1585150522.489987,148,0
1585150522.552156,148,0
1585150522.614324,148,0
1585150522.676527,148,0
1585150522.738699,148,0
1585150522.800866,148,0
1585150522.863063,148,0
1585150522.925220,148,0
1585150522.987383,148,0
1585150523.049550,148,0
1585150523.111717,148,0
1585150523.173874,148,0
1585150523.236053,148,0
1585150523.298232,148,0
1585150523.360396,148,0
1585150523.422532,148,0
1585150523.484678,148,0
1585150523.546910,148,0
1585150523.609153,148,0
1585150523.671314,148,0
1585150523.733502,148,0
1585150523.795680,148,0
1585150523.857850,148,0
1585150523.920013,148,0
1585150523.982167,148,0
1585150524.044320,148,0
1585150524.106482,148,0
1585150524.168657,148,0
1585150524.230860,148,0
1585150524.293005,148,0
1585150524.355160,148,0
1585150524.417322,148,0
1585150524.479483,148,0
1585150524.541684,148,0
1585150524.603843,148,0
1585150524.666046,148,0
1585150524.728197,148,0
1585150524.790400,148,0
1585150524.852567,148,0
1585150524.914754,148,0
1585150524.976937,148,0
1585150525.039110,148,0
1585150525.101358,148,0
1585150525.163566,148,0
1585150525.225754,148,0
1585150525.288033,148,0
1585150525.350425,148,0
1585150525.412847,148,0
1585150525.475340,148,0
1585150525.537813,148,0
1585150525.600290,148,0
1585150525.662695,148,0
1585150525.725101,148,0
1585150525.787523,148,0
1585150525.849945,148,0
1585150525.912351,148,0
1585150525.974749,148,0
1585150526.037168,148,0
1585150526.099713,148,0
1585150526.162208,148,0
1585150526.224665,148,0
1585150526.287128,148,0
1585150526.349556,148,0
1585150526.411978,148,0
1585150526.474380,148,0
1585150526.536851,148,0
1585150526.599267,148,0
1585150526.661677,148,0
1585150526.724084,148,0
1585150526.786506,31,0
1585150526.848978,148,0
1585150526.911401,148,0
1585150526.973813,148,0
1585150527.036228,148,0
1585150527.098673,148,0
1585150527.161150,148,0
1585150527.223560,16,0
1585150527.286068,149,0
1585150527.348493,150,0
1585150527.410909,162,0
1585150527.473348,16,0
1585150527.535808,165,0
1585150527.598302,10,0
1585150527.660779,519,0
1585150527.723256,18,0
1585150527.785696,18,0
1585150527.848198,13,0
1585150527.910621,10,0
1585150527.973046,10,1
1585150528.035465,11,1
1585150528.097899,18,1
1585150528.160404,17,1
1585150528.222897,16,1
1585150528.285344,15,1
1585150528.347784,148,1
1585150528.410208,148,1
1585150528.472618,148,1
1585150528.535077,148,1
1585150528.597487,148,1
1585150528.659894,148,1
1585150528.722299,148,1
1585150528.784725,148,1
1585150528.847191,148,1
1585150528.909607,148,1
1585150528.972043,148,1
1585150529.034613,148,1
1585150529.097039,148,1
1585150529.159480,148,1
1585150529.221902,148,1
1585150529.284317,148,1
1585150529.346832,148,1
1585150529.409238,148,1
1585150529.471735,148,1
1585150529.534146,148,1
1585150529.596565,148,1
1585150529.658968,148,1
1585150529.721367,148,1
1585150529.783780,148,1
1585150529.846192,148,1
1585150529.908601,148,1
1585150529.971013,148,1
1585150530.033449,148,1
1585150530.095868,148,1
1585150530.158403,148,1
1585150530.220852,148,1
1585150530.283262,148,1
1585150530.345697,148,1
1585150530.408272,148,1
1585150530.470709,148,1
1585150530.533177,148,1
1585150530.595627,148,1
1585150530.658104,148,1
1585150530.720549,148,1
1585150530.782928,148,1
1585150530.845331,148,1
1585150530.907747,148,1
1585150530.970184,148,1
1585150531.032647,148,1
1585150531.095068,148,1
1585150531.157499,148,1
1585150531.219908,148,1
1585150531.282336,148,1
1585150531.344745,148,1
1585150531.407159,148,1
1585150531.469611,148,1
1585150531.532023,148,1
1585150531.594436,148,1
1585150531.656906,148,1
1585150531.719304,148,1
1585150531.781711,148,1
1585150531.844126,148,1
1585150531.906545,148,1
1585150531.968989,148,1
1585150532.031396,148,1
1585150532.093810,148,1
1585150532.156248,148,1
1585150532.218665,148,1
1585150532.281074,148,1
1585150532.343488,148,1
1585150532.405913,148,1
1585150532.468387,148,1
1585150532.530820,148,1
1585150532.593246,148,1
1585150532.655653,148,1
1585150532.718102,148,1
1585150532.780520,148,1
1585150532.842976,148,1
1585150532.905391,148,1
1585150532.967806,148,1
1585150533.030229,148,1
1585150533.092649,148,1
1585150533.155125,148,1
1585150533.217553,148,1
1585150533.279961,148,1
1585150533.342372,148,1
1585150533.404815,148,1
1585150533.467267,148,1
1585150533.529734,148,1
